sku;produto_nome;categoria;fornecedor;cnpj_fornecedor;email_fornecedor;preco_custo;preco_venda;margem;estoque_atual;estoque_minimo;status_estoque;lead_time_dias;rating_fornecedor;prioridade_reposicao
MAT-BRI-001;Brita 1;Materiais;Pedreira Vale Azul;22.334.556/0001-08;comercial@pedreiravaleazul.com.br;110.0;168.5;34.7;772;37;OK;7;4.5;NORMAL
MAT-BRI-002;Brita 0 (Pedrisco);Materiais;Pedreira Vale Azul;22.334.556/0001-08;comercial@pedreiravaleazul.com.br;105.0;160.0;34.4;354;42;OK;7;4.5;NORMAL
MAT-ACO-010;Aço CA-50 10mm;Estrutural;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;42.2;62.8;32.8;257;43;OK;8;4.6;NORMAL
MAT-ACO-063;Aço CA-60 6.3mm;Estrutural;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;28.5;44.0;35.2;297;34;OK;8;4.6;NORMAL
MAT-ACO-125;Aço CA-50 12.5mm;Estrutural;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;64.0;95.0;32.6;89;45;BAIXO;8;4.6;NORMAL
MAT-ARM-012;Arame Recozido 1.2mm;Estrutural;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;8.9;14.5;38.6;171;42;OK;8;4.6;NORMAL
MAT-PER-I20;Perfil I HEB 200;Estrutural;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;380.0;560.0;32.1;111;40;OK;8;4.6;NORMAL
MAT-PER-U15;Perfil U 150x2.65mm;Estrutural;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;45.0;72.0;37.5;109;15;OK;8;4.6;NORMAL
MAT-TEL-Q138;Tela Soldada Q-138;Estrutural;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;22.0;34.0;35.3;333;21;OK;8;4.6;NORMAL
SOL-ELT-25;Eletrodo 6013 2.5mm;Ferramentas Consumíveis;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;18.4;29.5;37.6;758;89;OK;8;4.6;NORMAL
SOL-ELT-32;Eletrodo 7018 3.25mm;Ferramentas Consumíveis;Metal Supply Brasil;34.567.890/0001-12;vendas@metalsupply.com.br;24.0;38.0;36.8;684;90;OK;8;4.6;NORMAL
MAT-TIJ-929;Tijolo Cerâmico 9x19x29;Alvenaria;Cerâmica Santa Luz;45.678.901/0001-23;atendimento@ceramicasantaluz.com.br;0.82;1.35;39.3;5408;1763;OK;10;4.4;NORMAL
MAT-TIJ-006;Tijolo Furado 6 Furos;Alvenaria;Cerâmica Santa Luz;45.678.901/0001-23;atendimento@ceramicasantaluz.com.br;0.65;1.1;40.9;4473;1854;OK;10;4.4;NORMAL
MAT-TEL-001;Telha Cerâmica Portuguesa;Alvenaria;Cerâmica Santa Luz;45.678.901/0001-23;atendimento@ceramicasantaluz.com.br;2.8;4.9;42.9;2372;222;OK;10;4.4;NORMAL
MAT-POR-6060;Porcelanato 60x60 Polido;Acabamento;Cerâmica Santa Luz;45.678.901/0001-23;atendimento@ceramicasantaluz.com.br;55.0;89.0;38.2;514;31;OK;10;4.4;NORMAL
MAT-PIS-4545;Piso Cerâmico 45x45;Acabamento;Cerâmica Santa Luz;45.678.901/0001-23;atendimento@ceramicasantaluz.com.br;28.0;45.0;37.8;124;24;OK;10;4.4;NORMAL
MAT-REV-2020;Revestimento Externo 20x20;Acabamento;Cerâmica Santa Luz;45.678.901/0001-23;atendimento@ceramicasantaluz.com.br;24.0;38.0;36.8;92;44;OK;10;4.4;NORMAL
MAT-ARG-020;Argamassa AC-II 20kg;Acabamento;Acabamax Revestimentos;56.789.012/0001-34;orcamento@acabamax.com.br;19.7;29.9;34.1;403;33;OK;6;4.7;NORMAL
MAT-ARG-030;Argamassa AC-III Flex 20kg;Acabamento;Acabamax Revestimentos;56.789.012/0001-34;orcamento@acabamax.com.br;28.0;42.5;34.1;428;34;OK;6;4.7;NORMAL
MAT-REJ-001;Rejunte Flexível Cinza 1kg;Acabamento;Acabamax Revestimentos;56.789.012/0001-34;orcamento@acabamax.com.br;4.8;8.9;46.1;83;24;OK;6;4.7;NORMAL
MAT-REJ-BRA;Rejunte Branco 1kg;Acabamento;Acabamax Revestimentos;56.789.012/0001-34;orcamento@acabamax.com.br;4.5;8.5;47.1;427;36;OK;6;4.7;NORMAL
MAT-MAS-025;Massa Corrida PVA 25kg;Acabamento;Acabamax Revestimentos;56.789.012/0001-34;orcamento@acabamax.com.br;68.0;98.0;30.6;472;41;OK;6;4.7;NORMAL
MAT-GES-020;Gesso em Pó 20kg;Acabamento;Acabamax Revestimentos;56.789.012/0001-34;orcamento@acabamax.com.br;22.0;35.0;37.1;177;27;OK;6;4.7;NORMAL
EPI-LUV-M;Luva Nitrílica Tamanho M;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;5.1;9.4;45.7;449;71;OK;4;4.9;NORMAL
EPI-LUV-RSP;Luva de Raspa Cano Curto;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;12.5;21.0;40.5;247;60;OK;4;4.9;NORMAL
EPI-CAP-BR;Capacete Classe B Branco;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;21.4;34.9;38.7;308;48;OK;4;4.9;NORMAL
EPI-CAP-AM;Capacete Classe B Amarelo;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;21.4;34.9;38.7;476;52;OK;4;4.9;NORMAL
EPI-OCU-INC;Óculos de Proteção Incolor;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;7.6;13.9;45.3;108;37;OK;4;4.9;NORMAL
EPI-OCU-ESC;Óculos de Proteção Escuro;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;8.2;14.9;45.0;153;29;OK;4;4.9;NORMAL
EPI-MAS-PF2;Máscara PFF2 Sem Válvula;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;3.8;7.9;51.9;505;70;OK;4;4.9;NORMAL
EPI-PRO-AUR;Protetor Auricular Plug;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;1.2;2.9;58.6;555;41;OK;4;4.9;NORMAL
EPI-CIN-PAR;Cinto de Segurança Tipo Paraquedista;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;285.0;420.0;32.1;166;49;OK;4;4.9;NORMAL
EPI-BOT-SEC;Bota de Segurança CA 40908;EPI;Casa do EPI;67.890.123/0001-45;vendas@casadoepi.com.br;98.0;158.0;38.0;174;76;OK;4;4.9;NORMAL
FER-DSC-045;Disco de Corte 4.1/2;Ferramentas Consumíveis;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;3.2;6.9;53.6;329;115;OK;5;4.3;NORMAL
FER-DSC-DES;Disco de Desbaste 4.1/2;Ferramentas Consumíveis;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;4.8;9.9;51.5;580;113;OK;5;4.3;NORMAL
FER-DSC-DIA;Disco Diamantado Turbo 110mm;Ferramentas Consumíveis;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;38.0;62.0;38.7;520;111;OK;5;4.3;NORMAL
FER-BRO-6MM;Broca Metal HSS 6mm;Ferramentas Consumíveis;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;4.2;8.5;50.6;336;49;OK;5;4.3;NORMAL
FER-BRO-SDS;Broca Concreto 10mm SDS;Ferramentas Consumíveis;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;12.0;22.0;45.5;559;95;OK;5;4.3;NORMAL
FER-SRC-65;Serra Copo Bimetálica 65mm;Ferramentas Consumíveis;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;28.0;48.0;41.7;419;88;OK;5;4.3;NORMAL
FER-LIX-080;Lixa Cimento 150 grana 80;Ferramentas Consumíveis;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;1.8;3.9;53.8;454;38;OK;5;4.3;NORMAL
FER-REB-416;Rebite Pop 4x16mm;Ferramentas Consumíveis;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;18.0;32.0;43.8;359;120;OK;5;4.3;NORMAL
FER-TRE-005;Trena 5m Emborrachada;Ferramentas Manuais;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;22.0;38.0;42.1;17;5;OK;5;4.3;NORMAL
FER-NIV-060;Nível de Bolha 60cm;Ferramentas Manuais;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;35.0;58.0;39.7;53;3;OK;5;4.3;NORMAL
FER-MAR-027;Martelo Carpinteiro 27mm;Ferramentas Manuais;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;38.0;62.0;38.7;76;16;OK;5;4.3;NORMAL
FER-COL-010;Colher de Pedreiro 10 pol;Ferramentas Manuais;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;18.5;32.0;42.2;82;15;OK;5;4.3;NORMAL
FER-DES-DEN;Desempenadeira Dentada PVC;Ferramentas Manuais;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;12.0;22.0;45.5;95;10;OK;5;4.3;NORMAL
FER-ALI-UNI;Alicate Universal 8 pol;Ferramentas Manuais;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;28.0;48.0;41.7;15;12;BAIXO;5;4.3;MONITORAR
FER-CHA-010;Chave Combinada 10mm;Ferramentas Manuais;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;14.0;25.0;44.0;33;20;BAIXO;5;4.3;NORMAL
FER-FUR-750;Furadeira de Impacto 750W;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;289.0;389.9;25.9;32;4;OK;5;4.3;NORMAL
FER-PAR-12V;Parafusadeira 12V;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;350.0;459.0;23.7;15;6;OK;5;4.3;NORMAL
FER-SER-1400;Serra Mármore 1400W;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;480.0;629.5;23.7;46;8;OK;5;4.3;NORMAL
FER-ESM-412;Esmerilhadeira Angular 4.5 pol;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;260.0;347.8;25.2;24;3;OK;5;4.3;NORMAL
FER-NIV-LAS;Nível a Laser Verde;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;220.0;289.9;24.1;30;1;OK;5;4.3;NORMAL
FER-CHI-IMP;Chave de Impacto 1/2 pol;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;410.0;540.0;24.1;39;5;OK;5;4.3;NORMAL
FER-BET-400;Betoneira 400L Monofásica;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;2950.0;3950.0;25.3;11;3;OK;5;4.3;NORMAL
FER-MAR-1500;Martelete Rompedor 1500W;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;890.0;1190.0;25.2;25;1;OK;5;4.3;NORMAL
FER-LAV-1800;Lavadora Alta Pressão 1800W;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;680.0;890.0;23.6;44;5;OK;5;4.3;NORMAL
FER-TRE-L50;Trena a Laser 50m;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;320.0;420.0;23.8;21;7;OK;5;4.3;NORMAL
FER-ESC-600;Escada Extensiva 6m;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;750.0;980.0;23.5;17;1;OK;5;4.3;NORMAL
FER-COM-10P;Compressor de Ar 10 Pés;Ferramentas Elétricas;Ferragens Nobre;78.901.234/0001-56;televendas@ferragensnobre.com.br;1480.0;1950.0;24.1;3;5;CRÍTICO;5;4.3;URGENTE
PNT-TIN-18;Tinta Acrílica Branco Fosco 18L;Pintura;Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;189.0;269.0;29.7;52;19;OK;7;4.2;NORMAL
PNT-TIN-3A;Tinta Acrílica Fosca 3,6L;Pintura;Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;58.0;89.0;34.8;166;29;OK;7;4.2;NORMAL
PNT-ESM-36;Tinta Esmalte Sintetico 3,6L;Pintura;Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;72.0;110.0;34.5;16;8;BAIXO;7;4.2;NORMAL
PNT-SEL-18;Selador Acrílico 18L;Pintura;Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;122.0;179.9;32.2;135;27;OK;7;4.2;NORMAL
PNT-PRI-900;Primer Antiferrugem 900ml;Pintura;Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;35.0;56.0;37.5;71;16;OK;7;4.2;NORMAL
PNT-VER-900;Verniz Marítimo 900ml;Pintura;Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;48.0;75.0;36.0;139;14;OK;7;4.2;NORMAL
PNT-TEX-025;Textura Grafiato 25kg;Pintura;Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;98.0;148.0;33.8;37;11;OK;7;4.2;NORMAL
PNT-IMP-010;Impermeabilizante Manta 10kg;Pintura;Tintas Horizonte;89.012.345/0001-67;comercial@tintashorizonte.com.br;145.0;219.0;33.8;74;24;OK;7;4.2;NORMAL
ELE-FIT-020;Fita Isolante 20m;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;2.1;4.9;57.1;176;68;OK;6;4.5;NORMAL
ELE-CAB-25A;Cabo Flexível 2,5mm Azul;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;2.65;4.2;36.9;1044;192;OK;6;4.5;NORMAL
ELE-CAB-4VD;Cabo Flexível 4mm Verde;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;4.1;6.5;36.9;920;207;OK;6;4.5;NORMAL
ELE-CAB-6PR;Cabo Flexível 6mm Preto;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;5.9;9.2;35.9;1797;244;OK;6;4.5;NORMAL
ELE-CON-34;Conduíte Corrugado 3/4;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;1.45;2.8;48.2;1804;192;OK;6;4.5;NORMAL
ELE-CON-1P;Conduíte Rígido 1 Polegada;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;12.8;19.9;35.7;622;57;OK;6;4.5;NORMAL
ELE-DIS-B25;Disjuntor Bipolar 25A;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;28.0;45.0;37.8;1566;55;OK;6;4.5;NORMAL
ELE-QUA-12D;Quadro de Distribuição 12 Disjuntores;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;72.0;118.0;39.0;899;30;OK;6;4.5;NORMAL
ELE-TOM-10A;Tomada 2P+T 10A;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;8.5;14.9;43.0;1510;149;OK;6;4.5;NORMAL
ELE-INT-10A;Interruptor Simples 10A;Elétrica;EletroMais;90.123.456/0001-78;eletrica@eletromais.com.br;6.8;12.5;45.6;1923;142;OK;6;4.5;NORMAL
HID-TUB-25;Tubo PVC Soldável 25mm;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;14.6;24.5;40.4;1254;58;OK;6;4.6;NORMAL
HID-TUB-32;Tubo PVC Soldável 32mm;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;19.8;32.0;38.1;1225;94;OK;6;4.6;NORMAL
HID-TUB-100;Tubo PVC Esgoto 100mm;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;42.0;68.0;38.2;1325;10;OK;6;4.6;NORMAL
HID-JOE-25;Joelho 90 PVC 25mm;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;0.74;1.6;53.8;942;61;OK;6;4.6;NORMAL
HID-JOE-40;Joelho 90 PVC 40mm;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;1.2;2.4;50.0;162;176;CRÍTICO;6;4.6;URGENTE
HID-TE-025;Te PVC 25mm;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;1.1;2.2;50.0;542;9;OK;6;4.6;NORMAL
HID-REG-25;Registro de Esfera 25mm;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;17.8;29.9;40.5;487;154;OK;6;4.6;NORMAL
HID-TOR-34;Torneira de Jardim 3/4;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;22.0;38.0;42.1;809;180;OK;6;4.6;NORMAL
HID-SIF-COZ;Sifão Cozinha Saída 1.5;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;18.5;32.0;42.2;1426;51;OK;6;4.6;NORMAL
HID-CAI-1000;Caixa d'Água 1000L;Hidráulica;Hidro Center;01.234.567/0001-89;hidraulica@hidrocenter.com.br;390.0;580.0;32.8;836;20;OK;6;4.6;NORMAL
