nome;marca;sku;categoria;descricao;valor_unitario;valor_venda;total_unidades;unidades_minimas;condicao;numero_nota;localizacao_estoque;data_entrada;garantia_meses;voltagem;peso_kg;requer_manutencao;disponivel_locacao
Vibrador de Concreto 1.5HP;Vonder;FER-VIB-15H;Concretagem;Vibrador de imersão 1.5HP eixo 38mm;890.0;1180.0;2;1;new;NF-2026-000465;Galpão B-5;2026-02-09;24;220V;30.7;0;0
Escada Extensiva 6m Alumínio;Mor;FER-ESC-600;Acesso;Escada extensiva em alumínio 6 metros;750.0;980.0;7;2;good;NF-2026-000458;Galpão C-2;2026-03-24;6;N/A;29.9;0;0
Escada Telescópica 4.4m;Alulev;FER-ESC-TEL;Acesso;Escada telescópica alumínio 14 degraus;620.0;829.0;4;1;new;NF-2026-000455;Galpão A-5;2026-02-07;6;N/A;44.7;0;0
Andaime Tubular 1m;Styla;FER-AND-001;Acesso;Andaime tubular galvanizado módulo 1m;380.0;520.0;8;2;good;NF-2026-000458;Galpão B-3;2026-01-15;24;N/A;30.1;0;0
Carrinho de Mão 60L;Tramontina;FER-CAR-060;Transporte;Carrinho de mão reforçado 60 litros;210.0;278.4;12;3;good;NF-2026-000452;Galpão A-2;2026-02-18;36;N/A;20.1;0;0
Carrinho de Plataforma 300kg;Vonder;FER-CAR-PLT;Transporte;Carrinho de plataforma dobrável 300kg;320.0;428.0;5;2;new;NF-2026-000458;Galpão C-2;2026-01-04;12;N/A;1.8;0;0
Trena a Laser 50m;Bosch;FER-TRE-L50;Medição;Trena digital laser alcance 50 metros;320.0;420.0;5;1;new;NF-2026-000457;Galpão A-4;2026-03-02;24;N/A;38.9;0;0
Trena Métrica 50m Inox;Stanley;FER-TRE-050;Medição;Trena metálica inox com estojo 50 metros;120.0;168.0;6;2;good;NF-2026-000458;Galpão C-1;2026-02-27;36;N/A;36.5;0;1
Lavadora Alta Pressão 1800W;Wap;FER-LAV-1800;Limpeza;Lavadora de alta pressão para canteiro;680.0;890.0;3;1;poor;NF-2026-000461;Galpão B-4;2026-02-10;6;Bivolt;19.2;1;1
Lavadora Alta Pressão 2200W;Karcher;FER-LAV-2200;Limpeza;Lavadora Karcher K4 2200W uso profissional;980.0;1290.0;2;1;new;NF-2026-000463;Galpão C-5;2026-02-19;6;Bateria;43.2;0;0
Compressor 10 Pés Mono;Schulz;FER-COM-10P;Limpeza;Compressor de ar 10 pés 220V monofásico;1480.0;1950.0;2;1;good;NF-2026-000463;Galpão B-2;2026-03-06;6;110V;44.9;0;0
Gerador a Gasolina 5.5kVA;Branco;FER-GER-55K;Elétricas;Gerador a gasolina 5.5kVA monofásico;2480.0;3290.0;1;1;new;NF-2026-000455;Galpão A-3;2026-03-01;12;Bivolt;40.0;0;0
Soprador Térmico 2000W;Bosch;FER-SOP-2KW;Elétricas;Soprador térmico temperatura regulável;210.0;289.0;4;2;good;NF-2026-000452;Galpão B-5;2026-01-26;12;220V;15.4;0;0
Politriz Angular 5 pol;DeWalt;FER-POL-500;Elétricas;Politriz angular de velocidade variável 5 polegadas;680.0;899.0;3;1;new;NF-2026-000458;Galpão A-5;2026-02-06;36;Bateria;20.4;0;0
